RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,PowerOutput
28.8,343.0,21.1,2.2,0.26
43.1,513.0,21.5,2.9,1.75
48.0,567.0,43.9,3.2,2.36
31.2,380.0,20.1,2.1,0.5
65.2,772.0,57.5,4.2,6.61
66.0,770.0,52.1,5.4,6.48
38.4,457.0,28.6,2.4,1.17
47.7,590.0,43.9,2.8,2.86
35.4,419.0,16.1,2.5,0.83
30.1,363.0,14.3,2.1,0.4
66.3,788.0,52.3,5.1,6.82
66.8,788.0,51.0,6.6,6.84
61.0,729.0,52.8,4.1,5.53
47.8,580.0,19.4,2.7,2.75
59.1,684.0,40.6,4.4,4.36
66.0,786.0,53.8,4.9,6.81
47.4,560.0,45.9,3.4,2.3
44.2,520.0,21.5,3.2,1.82
29.0,352.0,20.8,2.2,0.34
62.3,753.0,57.7,5.2,6.31
57.7,702.0,27.7,3.4,5.23
38.5,463.0,25.6,3.2,1.25
53.1,643.0,53.5,3.9,3.66
60.4,704.0,44.8,4.1,4.75
33.8,407.0,21.5,2.1,0.7
61.8,715.0,44.8,4.4,5.03
66.6,786.0,57.2,5.2,6.79
64.9,774.0,56.9,5.8,6.72
67.2,765.0,38.9,6.1,6.44
37.9,445.0,21.2,2.6,1.04
65.7,782.0,53.6,4.7,6.81
58.9,672.0,45.6,4.8,3.96
53.0,643.0,51.4,3.3,3.75
41.5,503.0,20.6,2.6,1.72
64.4,737.0,54.1,4.8,5.52
62.2,734.0,52.3,4.2,5.61
65.8,786.0,52.8,5.9,6.85
40.7,494.0,21.9,2.9,1.55
32.2,385.0,16.0,2.1,0.59
66.8,757.0,51.4,5.4,5.97
33.3,395.0,25.9,2.5,0.59
53.9,635.0,21.9,4.2,3.56
48.7,590.0,25.7,3.4,2.9
41.6,497.0,36.3,2.7,1.5
52.3,620.0,19.0,3.5,3.36
66.3,779.0,53.3,4.4,6.74
35.6,427.0,23.6,2.1,0.86
43.0,515.0,22.4,3.3,1.79
61.4,733.0,57.7,4.3,5.61
24.9,295.0,20.5,2.1,0.05
33.2,391.0,23.8,2.2,0.58
42.7,517.0,42.0,2.8,1.76
57.5,680.0,44.0,3.9,4.31
66.2,786.0,53.6,6.5,6.84
28.7,344.0,12.0,2.1,0.28
64.8,772.0,50.6,4.4,6.65
33.8,405.0,20.6,2.1,0.74
38.4,465.0,22.4,2.3,1.25
53.6,648.0,28.4,3.5,3.93
65.0,780.0,51.3,6.3,6.7
59.7,684.0,32.9,4.2,4.51
65.8,779.0,50.1,5.0,6.71
65.3,778.0,52.5,5.5,6.71
40.4,481.0,17.8,2.7,1.47
65.3,783.0,53.0,5.6,6.81
43.8,533.0,22.4,3.4,2.06
55.9,655.0,47.1,4.4,3.81
46.0,549.0,52.2,2.9,2.14
65.8,779.0,44.8,4.8,6.75
57.6,673.0,30.5,4.2,4.33
62.3,722.0,52.0,4.5,5.24
57.7,679.0,45.8,3.8,4.3
50.6,582.0,46.5,3.9,2.57
66.1,786.0,49.7,6.2,6.84
57.0,686.0,25.9,3.5,4.76
53.3,625.0,46.1,4.0,3.19
66.4,783.0,53.1,4.6,6.79
65.5,784.0,57.4,5.6,6.77
63.8,755.0,57.7,4.3,6.23
65.1,781.0,53.3,5.5,6.74
52.7,635.0,53.8,3.6,3.59
64.8,772.0,53.7,5.0,6.62
65.4,778.0,53.7,6.3,6.74
57.3,676.0,48.4,4.2,4.18
49.4,600.0,28.5,2.9,3.07
38.6,462.0,26.9,2.5,1.17
65.0,779.0,52.3,4.8,6.73
61.5,751.0,49.9,3.8,6.26
64.2,772.0,52.7,4.3,6.69
43.0,516.0,38.0,2.4,1.82
53.4,626.0,44.2,3.5,3.34
61.2,745.0,53.7,4.5,6.02
38.9,448.0,22.3,2.6,1.06
37.6,452.0,21.5,2.5,1.09
38.9,469.0,19.4,2.7,1.32
53.5,630.0,46.5,3.2,3.37
29.6,358.0,24.4,2.1,0.38
65.6,788.0,49.8,5.3,6.83
66.1,788.0,53.1,5.7,6.83
61.0,722.0,52.1,3.9,5.32
65.3,767.0,51.5,4.8,6.43
66.5,787.0,49.8,4.6,6.71
31.5,379.0,21.4,2.2,0.53
45.3,540.0,30.4,3.4,2.08
44.8,535.0,53.0,2.9,1.94
32.9,399.0,16.1,2.2,0.67
51.8,609.0,22.1,3.8,3.1
65.2,781.0,30.7,5.4,6.83
65.8,784.0,50.5,5.6,6.87
50.1,591.0,21.4,3.6,2.83
50.2,609.0,52.5,3.0,3.17
53.9,616.0,27.8,4.5,3.2
52.6,634.0,28.4,3.3,3.69
38.9,469.0,32.0,2.4,1.29
55.1,645.0,30.3,3.9,3.78
36.7,441.0,23.7,2.5,0.98
33.5,398.0,21.4,2.7,0.64
52.4,624.0,52.9,3.1,3.3
47.6,551.0,44.9,2.3,2.11
52.4,610.0,51.4,3.9,2.97
53.7,657.0,52.6,3.8,4.01
33.8,408.0,21.5,2.3,0.71
57.4,689.0,51.8,3.9,4.6
45.4,539.0,19.6,2.7,2.14
61.4,744.0,52.1,3.7,5.96
65.9,792.0,38.6,4.8,6.88
63.7,753.0,52.2,4.9,6.08
45.4,551.0,42.2,3.2,2.19
63.3,758.0,49.6,4.4,6.35
42.0,503.0,18.2,2.1,1.75
65.0,778.0,52.3,4.9,6.78
40.3,490.0,25.4,2.7,1.53
60.7,721.0,49.7,4.0,5.34
54.2,634.0,46.4,3.9,3.54
66.4,781.0,50.6,4.9,6.72
65.5,777.0,48.2,6.1,6.75
50.4,612.0,22.2,3.8,3.27
65.5,782.0,57.7,6.3,6.75
56.3,678.0,47.5,4.5,4.47
65.9,776.0,28.4,5.1,7.17
64.8,775.0,51.4,4.2,6.72
40.4,466.0,22.0,2.9,1.18
54.1,641.0,52.6,4.0,3.59
65.6,777.0,56.7,5.0,6.78
31.3,378.0,13.1,2.1,0.53
41.6,498.0,30.5,2.6,1.56
64.5,777.0,50.5,4.7,6.72
35.4,429.0,21.5,2.2,0.93
57.4,699.0,22.3,3.5,5.21
65.6,784.0,49.2,5.4,6.79
65.6,789.0,41.2,4.5,7.16
46.9,559.0,21.6,3.1,2.43
65.9,782.0,27.6,5.6,6.98
30.6,371.0,24.1,2.1,0.44
38.8,467.0,17.1,2.3,1.3
65.4,782.0,53.2,5.5,6.81
65.4,780.0,54.8,4.9,6.72
26.6,316.0,14.8,2.1,0.14
64.2,736.0,52.6,4.9,5.64
34.3,409.0,21.4,2.1,0.71
52.9,645.0,57.6,2.9,3.81
43.9,540.0,38.0,2.5,2.19
59.2,697.0,45.8,3.9,4.63
33.4,408.0,15.9,2.1,0.76
62.2,745.0,49.7,4.7,6.05
39.4,475.0,20.5,2.9,1.36
47.2,561.0,47.2,3.8,2.27
65.4,780.0,49.8,5.9,6.72
45.9,561.0,54.3,3.3,2.36
41.2,497.0,17.6,2.4,1.65
37.9,451.0,23.7,2.4,1.12
46.4,557.0,19.5,2.7,2.45
33.8,405.0,13.1,2.2,0.73
62.4,736.0,53.0,4.3,5.66
47.9,576.0,52.7,2.9,2.56
45.0,541.0,20.5,2.4,2.19
42.8,519.0,44.1,3.0,1.81
61.6,740.0,49.7,4.5,5.85
60.2,726.0,45.8,3.9,5.48
44.0,532.0,42.1,2.8,1.91
33.6,402.0,11.6,2.7,0.7
59.9,694.0,45.6,5.3,4.69
37.2,450.0,17.3,2.1,1.07
65.9,787.0,53.0,5.7,6.85
29.6,358.0,19.8,2.1,0.38
59.8,723.0,54.6,3.5,5.48
50.3,603.0,21.5,3.2,3.1
65.3,780.0,52.2,5.0,6.77
30.9,381.0,23.2,2.2,0.55
65.4,786.0,49.3,5.5,6.81
43.6,518.0,21.2,2.7,1.84
62.4,751.0,46.5,4.2,6.42
53.7,641.0,46.5,3.1,3.61
62.1,740.0,49.7,4.4,5.78
50.7,605.0,19.2,3.2,3.13
59.7,689.0,52.6,4.1,4.38
37.8,459.0,21.4,2.1,1.24
60.9,735.0,49.7,4.2,5.71
61.3,739.0,53.7,3.8,5.87
53.5,647.0,41.4,3.5,3.84
65.0,782.0,42.1,6.0,7.08
40.5,484.0,21.5,2.6,1.45
55.5,649.0,53.9,4.2,3.74
46.8,556.0,19.5,3.0,2.28
53.6,635.0,46.0,3.3,3.35
36.0,428.0,23.6,2.1,0.91
31.8,381.0,25.2,2.7,0.53
36.0,436.0,27.7,2.5,0.99
65.7,774.0,52.1,5.4,6.65
36.0,423.0,21.4,2.3,0.83
61.5,731.0,51.3,4.2,5.51
61.1,738.0,51.8,4.1,5.76
61.1,725.0,51.3,3.6,5.4
55.6,660.0,26.1,4.4,4.14
62.9,745.0,53.8,3.8,5.87
30.8,371.0,17.4,2.2,0.43
26.7,308.0,11.5,2.3,0.13
61.3,755.0,51.3,4.9,6.23
41.6,495.0,29.4,3.0,1.53
46.1,561.0,19.0,3.5,2.48
56.6,691.0,52.3,3.7,4.78
37.9,453.0,16.5,2.4,1.17
51.7,630.0,26.1,4.3,3.57
57.3,686.0,53.7,4.7,4.49
63.7,771.0,57.0,5.2,6.63
59.9,732.0,51.5,3.8,5.74
65.3,778.0,52.8,5.4,6.76
51.5,613.0,53.8,3.5,3.14
31.0,372.0,48.0,2.8,0.36
29.7,354.0,22.9,2.1,0.38
47.8,566.0,43.3,3.7,2.31
53.2,650.0,23.3,3.2,4.02
50.5,604.0,42.0,3.3,3.06
61.6,707.0,55.1,4.5,4.88
56.4,673.0,48.1,3.6,4.23
34.5,409.0,20.5,2.1,0.71
65.8,781.0,57.3,5.4,6.8
66.0,784.0,52.2,6.1,6.78
67.3,779.0,45.6,4.9,6.59
38.1,459.0,43.2,2.3,1.11
35.0,418.0,20.6,2.1,0.77
65.7,774.0,49.8,4.2,6.62
36.1,442.0,27.6,2.4,1.04
34.7,408.0,31.0,2.3,0.68
40.6,488.0,17.8,2.7,1.53
54.0,637.0,35.4,3.6,3.5
44.4,526.0,50.5,2.9,1.78
37.9,455.0,21.4,2.1,1.19
52.2,630.0,42.3,3.9,3.58
65.6,786.0,53.7,6.2,6.85
65.7,787.0,51.3,4.8,6.81
34.2,413.0,20.7,3.0,0.78
33.9,410.0,15.3,2.1,0.75
45.2,552.0,54.3,3.3,2.25
58.3,684.0,27.1,5.0,4.68
65.8,779.0,57.4,5.8,6.76
50.1,590.0,51.1,3.2,2.64
45.6,549.0,17.4,3.0,2.26
60.5,706.0,39.7,4.1,5.08
66.9,792.0,52.1,4.7,6.87
39.5,465.0,17.4,2.5,1.21
46.5,551.0,17.9,3.0,2.27
64.3,773.0,53.8,5.6,6.65
34.3,415.0,21.4,2.2,0.82
57.6,681.0,52.4,3.9,4.36
66.9,787.0,50.5,5.4,6.76
48.9,582.0,42.3,3.4,2.65
55.6,678.0,27.2,4.7,4.68
49.9,604.0,50.5,3.1,3.02
65.8,776.0,49.3,5.0,6.68
32.5,396.0,20.6,2.1,0.7
46.6,551.0,42.3,3.7,2.15
65.0,783.0,53.7,6.1,6.78
44.9,540.0,22.3,3.0,2.2
44.5,524.0,42.4,3.3,1.8
62.6,749.0,54.6,3.8,6.01
65.3,777.0,45.6,4.4,6.73
65.4,778.0,53.2,5.4,6.77
51.0,611.0,54.5,3.3,3.12
47.5,563.0,19.5,3.2,2.4
65.2,778.0,52.3,5.6,6.71
53.9,631.0,28.5,4.1,3.43
31.6,380.0,20.5,2.1,0.49
36.9,447.0,41.1,2.4,1.0
46.9,562.0,30.5,3.8,2.49
45.9,538.0,19.5,3.1,2.03
66.0,783.0,53.4,5.0,6.77
54.0,659.0,39.9,3.4,4.24
41.6,487.0,21.3,3.4,1.46
43.9,532.0,20.8,2.6,2.05
50.5,619.0,45.9,2.9,3.25
52.3,600.0,27.8,3.9,2.94
30.8,369.0,39.8,2.2,0.43
62.3,727.0,45.0,4.5,5.41
34.2,411.0,21.4,2.2,0.76
39.2,468.0,17.0,2.6,1.26
66.0,775.0,56.9,5.7,6.46
65.6,783.0,54.0,4.6,6.75
60.8,710.0,49.8,3.7,4.97
57.6,681.0,48.4,3.9,4.27
56.5,683.0,27.7,3.3,4.72
43.6,521.0,21.2,2.7,1.89
37.6,452.0,37.5,2.4,1.06
42.1,506.0,25.8,2.9,1.67
31.9,381.0,21.4,2.4,0.54
64.8,777.0,49.8,5.2,6.74
59.0,715.0,50.6,4.3,5.13
63.3,763.0,54.6,3.9,6.46
64.9,778.0,57.6,5.1,6.76
45.2,532.0,19.5,3.1,1.97
60.4,670.0,52.8,4.8,4.05
57.3,677.0,33.3,3.8,4.24
61.5,735.0,49.7,4.4,5.61
38.2,457.0,25.2,2.5,1.14
56.3,690.0,50.6,4.0,4.71
53.2,655.0,53.3,3.5,4.01
32.1,391.0,21.4,2.2,0.6
40.5,484.0,24.2,2.7,1.4
39.6,468.0,21.6,2.5,1.27
59.8,720.0,49.7,3.7,5.29
43.6,518.0,21.5,3.0,1.88
62.8,750.0,45.6,4.2,5.99
34.9,417.0,22.3,2.1,0.79
34.3,408.0,24.1,2.1,0.72
66.9,783.0,49.7,5.3,6.79
57.1,687.0,45.0,3.5,4.53
54.3,651.0,49.8,3.3,3.83
58.2,704.0,54.7,4.5,4.93
57.3,685.0,48.2,4.1,4.44
54.0,644.0,52.7,3.5,3.68
61.4,745.0,29.2,3.9,6.35
40.7,496.0,21.4,2.8,1.65
34.8,418.0,21.9,2.6,0.83
56.7,668.0,27.8,4.1,4.27
66.8,787.0,51.7,5.0,6.74
34.8,411.0,15.9,2.3,0.77
63.6,760.0,28.7,4.1,6.7
34.6,415.0,16.0,2.1,0.83
63.0,754.0,52.2,3.9,6.27
35.1,426.0,16.7,2.3,0.87
65.3,779.0,52.2,6.2,6.73
65.1,776.0,55.2,5.5,6.69
59.7,717.0,51.7,3.9,5.18
45.1,550.0,46.5,3.7,2.23
66.2,790.0,51.3,4.9,6.82
37.9,454.0,25.9,2.8,1.16
65.1,776.0,49.8,7.0,6.73
56.7,693.0,49.8,3.4,4.8
38.7,468.0,41.4,2.6,1.23
57.0,691.0,44.9,3.7,4.74
66.4,781.0,53.6,5.1,6.77
53.6,639.0,26.9,4.6,3.72
37.3,445.0,23.8,2.2,1.07
54.1,658.0,22.3,3.4,4.17
35.9,426.0,37.6,2.4,0.81
56.5,662.0,57.4,4.9,3.9
57.4,670.0,50.1,4.0,4.09
44.7,529.0,21.4,3.2,1.98
35.8,422.0,22.3,2.1,0.83
54.7,640.0,25.8,3.9,3.66
35.3,429.0,15.9,2.4,0.97
51.0,601.0,56.5,3.9,2.89
57.3,679.0,49.7,3.7,4.27
61.2,711.0,27.8,5.3,5.16
65.2,775.0,48.9,4.5,6.74
66.9,772.0,52.2,5.1,6.41
38.3,460.0,21.4,2.9,1.23
38.4,460.0,22.4,2.4,1.16
50.8,603.0,25.6,3.2,3.1
65.8,778.0,52.2,4.5,6.73
65.4,776.0,49.8,7.0,6.72
66.3,781.0,49.8,5.9,6.75
56.0,670.0,53.0,3.8,4.34
52.1,611.0,25.2,3.4,3.1
32.8,386.0,24.8,2.4,0.53
40.2,480.0,22.4,2.6,1.43
53.7,644.0,45.6,3.0,3.65
64.0,751.0,55.4,4.4,6.02
57.4,699.0,52.3,3.7,5.03
38.7,477.0,25.8,2.4,1.37
53.1,634.0,22.4,3.2,3.7
63.6,762.0,53.9,4.3,6.44
41.0,482.0,38.8,3.0,1.39
27.9,336.0,15.2,2.1,0.28
67.5,792.0,54.5,5.3,6.86
62.9,751.0,24.1,4.1,6.4
59.8,720.0,45.8,3.9,5.37
65.6,778.0,44.8,4.4,6.72
60.1,727.0,51.5,3.7,5.48
42.2,501.0,43.1,2.2,1.56
30.7,368.0,39.8,2.2,0.42
55.3,661.0,21.9,4.6,4.18
40.8,468.0,40.5,2.9,1.16
34.8,411.0,19.2,2.2,0.71
57.5,682.0,44.9,3.6,4.42
49.2,598.0,28.5,2.9,3.02
65.8,758.0,48.2,5.6,5.99
45.5,546.0,20.7,3.0,2.19
45.4,546.0,22.4,3.5,2.25
42.4,511.0,21.5,2.3,1.8
64.0,741.0,53.5,4.9,5.68
66.0,789.0,57.3,6.4,6.84
48.3,574.0,28.0,3.4,2.62
62.7,767.0,51.3,4.9,6.49
39.2,472.0,22.3,2.3,1.34
60.3,741.0,53.1,4.0,5.92
65.2,778.0,52.1,5.1,6.58
37.5,441.0,23.6,2.7,1.0
44.7,540.0,20.7,3.0,2.12
37.7,460.0,21.4,2.3,1.19
37.5,436.0,17.3,2.8,0.97
56.4,682.0,45.7,3.7,4.44
56.6,697.0,53.3,3.5,4.91
61.3,737.0,55.4,3.7,5.66
44.3,530.0,40.5,3.2,1.88
65.4,778.0,54.4,5.2,6.77
53.1,648.0,53.0,3.3,3.82
62.5,744.0,53.8,3.8,5.84
36.2,436.0,15.3,2.4,1.03
37.3,444.0,17.1,2.4,1.03
65.2,777.0,52.5,6.3,6.71
35.6,428.0,23.2,2.1,0.91
56.1,666.0,48.4,4.1,4.02
27.7,329.0,15.3,2.3,0.2
64.8,779.0,53.3,5.6,6.72
34.9,420.0,23.7,2.2,0.88
52.1,635.0,50.1,3.1,3.55
57.3,680.0,36.3,4.2,4.32
55.5,658.0,54.1,4.1,3.89
41.6,493.0,20.5,2.6,1.54
65.6,761.0,35.5,5.5,6.18
63.2,733.0,22.5,4.2,5.7
58.7,711.0,24.4,4.0,5.48
66.2,783.0,54.0,5.2,6.77
33.9,403.0,23.2,2.3,0.7
61.1,737.0,24.1,4.0,6.07
32.3,392.0,16.1,2.2,0.64
33.1,394.0,25.9,2.5,0.6
63.8,763.0,28.5,3.8,6.85
41.1,491.0,21.4,3.1,1.54
30.8,362.0,15.3,2.1,0.42
56.8,686.0,50.2,3.3,4.6
53.2,650.0,27.6,3.3,4.0
65.1,777.0,54.5,7.9,6.72
60.6,713.0,40.6,4.5,5.01
59.0,698.0,22.6,4.4,4.96
43.8,526.0,30.2,2.5,1.92
57.5,684.0,48.2,3.5,4.44
43.7,530.0,53.1,2.5,2.0
30.3,362.0,20.2,2.1,0.41
42.5,505.0,21.3,2.8,1.75
41.2,482.0,19.5,2.6,1.44
65.5,783.0,49.8,5.4,6.81
34.3,408.0,21.4,2.6,0.73
39.4,472.0,17.0,2.4,1.3
43.8,522.0,20.7,3.1,1.86
43.2,527.0,19.6,2.5,1.98
53.9,638.0,54.6,3.0,3.51
66.5,789.0,53.3,5.5,6.86
66.6,788.0,50.4,5.6,6.8
50.3,597.0,21.4,3.5,2.97
45.8,557.0,42.3,3.5,2.26
63.2,759.0,45.4,4.2,6.36
45.0,546.0,40.5,2.6,2.08
66.6,788.0,51.3,5.6,6.7
45.7,559.0,47.2,3.6,2.3
56.7,674.0,27.7,4.1,4.42
67.2,784.0,52.2,4.6,6.69
31.8,385.0,16.1,2.2,0.6
59.2,712.0,29.3,3.6,5.52
57.7,691.0,53.7,3.9,4.61
65.3,776.0,44.8,4.4,6.74
36.8,440.0,22.9,2.1,1.05
38.5,472.0,21.4,2.3,1.31
63.2,764.0,49.0,4.2,6.47
66.4,789.0,52.1,5.2,6.79
33.9,398.0,20.7,2.5,0.58
35.6,420.0,19.1,2.2,0.78
59.5,723.0,49.8,3.7,5.43
41.4,509.0,40.4,2.7,1.7
65.2,775.0,52.3,5.1,6.74
42.0,495.0,25.5,4.0,1.54
28.2,336.0,14.3,2.1,0.29
46.6,561.0,36.3,3.6,2.45
53.6,616.0,22.3,3.9,3.21
28.3,340.0,14.3,2.1,0.29
43.1,517.0,21.4,2.8,1.88
26.0,309.0,15.0,2.1,0.12
33.6,404.0,30.3,2.1,0.69
32.0,385.0,24.7,2.3,0.58
59.5,692.0,29.8,4.2,4.54
45.3,524.0,25.3,5.3,1.96
59.7,706.0,44.9,4.2,4.88
46.4,538.0,21.5,3.4,2.07
41.2,498.0,20.6,2.6,1.66
34.3,413.0,21.5,2.2,0.76
45.5,568.0,49.0,2.9,2.57
45.4,552.0,25.3,2.8,2.36
38.4,466.0,20.7,2.6,1.33
67.0,788.0,53.0,5.5,6.85
45.0,541.0,20.7,3.0,2.14
53.8,636.0,26.9,4.6,3.64
33.1,404.0,21.5,2.2,0.73
35.9,432.0,21.5,2.7,0.98
40.6,486.0,23.2,2.3,1.55
55.3,680.0,53.7,3.1,4.47
32.2,383.0,21.4,2.2,0.51
65.5,784.0,52.2,5.0,6.79
56.9,690.0,57.0,3.9,4.68
49.5,605.0,26.8,3.5,3.17
52.3,627.0,19.1,3.4,3.5
35.0,416.0,21.4,2.7,0.79
37.5,451.0,13.8,2.4,1.07
63.4,752.0,53.0,4.4,6.03
40.5,484.0,24.2,2.7,1.46
43.1,529.0,21.4,3.0,2.03
47.7,585.0,37.9,3.0,2.76
37.3,450.0,23.5,2.2,1.12
31.0,372.0,39.8,2.1,0.42
33.1,401.0,24.1,2.6,0.71
42.6,517.0,21.4,2.7,1.85
47.4,556.0,47.2,3.5,2.25
55.6,652.0,43.2,3.1,3.88
39.7,466.0,20.8,2.4,1.23
30.4,363.0,16.3,2.1,0.4
32.1,389.0,11.5,2.2,0.63
65.2,779.0,51.9,5.5,6.71
65.6,781.0,49.8,5.8,6.71
61.8,742.0,51.8,4.1,5.82
55.4,672.0,44.0,3.8,4.23
60.8,744.0,51.3,4.6,5.94
66.4,781.0,51.5,4.7,6.76
65.7,779.0,53.8,4.6,6.65
33.0,390.0,39.0,2.1,0.54
38.2,456.0,38.1,2.3,1.12
65.0,780.0,52.2,4.9,6.75
37.1,447.0,24.0,2.4,1.07
42.6,522.0,18.2,2.3,1.93
58.1,680.0,43.2,3.7,4.5
49.0,589.0,19.5,3.2,2.91
58.2,693.0,45.7,3.9,4.61
66.5,782.0,53.7,5.7,6.8
49.6,587.0,21.5,3.6,2.78
33.3,403.0,26.7,2.2,0.68
46.7,555.0,42.3,3.5,2.23
55.2,653.0,26.9,4.9,4.0
65.8,776.0,50.6,4.4,6.66
65.9,786.0,53.3,5.4,6.75
37.6,448.0,37.5,2.5,1.01
65.4,780.0,49.8,5.4,6.79
53.2,638.0,17.6,3.5,3.72
38.8,467.0,16.5,2.5,1.35
62.6,748.0,45.6,4.1,6.01
61.0,706.0,54.0,4.3,4.81
40.5,491.0,41.6,2.1,1.47
52.9,646.0,53.4,3.5,3.86
59.9,713.0,53.5,4.3,5.12
35.2,431.0,43.0,2.1,0.87
45.1,536.0,42.4,3.5,1.9
49.0,586.0,51.4,3.1,2.69
49.5,595.0,22.4,3.3,2.97
53.9,639.0,20.9,4.5,3.69
44.4,544.0,44.4,2.8,2.17
47.2,569.0,36.3,2.9,2.41
62.8,753.0,55.4,4.1,6.15
32.4,390.0,20.0,2.2,0.65
57.3,684.0,57.0,4.1,4.44
35.1,410.0,13.7,2.5,0.69
49.4,575.0,22.3,3.8,2.58
48.8,569.0,21.5,3.4,2.49
51.9,615.0,21.9,4.1,3.19
33.6,405.0,25.9,2.4,0.73
56.1,660.0,39.2,3.9,3.86
65.4,786.0,49.8,4.6,6.83
37.9,459.0,43.3,2.3,1.14
39.8,490.0,21.4,2.8,1.56
65.2,777.0,57.0,6.4,6.73
45.5,555.0,19.4,2.9,2.41
37.7,460.0,36.5,2.9,1.21
60.2,715.0,51.7,3.6,5.17
49.7,603.0,52.5,3.0,3.06
57.6,665.0,38.5,4.6,4.19
31.6,378.0,13.6,2.1,0.54
47.0,566.0,17.9,2.8,2.48
